Data Range: 2005-01 ~ 2024-11

=== Hyperparameters ===
Chosen HPs @ val_start=2019-01-01 | Ridge(all)=1650, Ridge(pca)=6.062e+04, Ridge(sel)=1.823e+04 | XGB(all)=(d=4, mcw=3.0), XGB(pca)=(d=3, mcw=1.0), XGB(sel)=(d=3, mcw=1.0)

=== Selection report ===
                 sel_freq     t_stat sign sign_stability dominant_sign_label   ic_mean    ic_std n_pos n_neg n_zero    feat_w
me               0.868421  13.459556    1            1.0                   +  0.047952  0.019217    76     0      0  0.934209
be_me            0.355263   2.322791    1       0.618421                   +  0.010831  0.024107    47    29      0  0.588379
sale_me          0.328947   4.439882    1       0.763158                   +  0.021035  0.023692    58    18      0  0.652814
ni_me            0.118421  12.118609    1       0.986842                   +  0.048959  0.021143    75     1      0  0.559205
ocf_me           0.052632  10.915856    1       0.973684                   +  0.044988  0.021087    74     2      0  0.526298
fcf_me           0.065789  12.422144    1            1.0                   +  0.050128  0.021288    76     0      0  0.532891
ebitda_mev       0.052632  10.624796    1       0.960526                   +  0.047294  0.022448    73     3      0  0.526291
div12m_me        0.013158   8.128428    1       0.907895                   +  0.030408  0.020686    69     7      0  0.506284
gp_at            0.092105  11.529007    1       0.986842                   +  0.030801  0.014617    75     1      0  0.546043
ope_be           0.355263  17.382867    1            1.0                   +  0.043526   0.01363    76     0      0  0.677632
cop_at           0.171053  22.203367    1            1.0                   +  0.036869  0.008828    76     0      0  0.585526
ocf_at           0.118421  24.049539    1            1.0                   +  0.049547  0.011207    76     0      0  0.559211
op_at            0.171053  25.489129    1            1.0                   +  0.046725  0.010919    76     0      0  0.585526
niq_be           0.421053  14.468554    1            1.0                   +  0.051142  0.018797    76     0      0  0.710526
ret_1_0          1.000000  -1.040881   -1       0.592105                   - -0.005122  0.026268    31    45      0   0.73902
ret_6_1          0.921053   4.439048    1       0.776316                   +  0.022905  0.026252    59    17      0  0.948857
ret_12_1         0.921053   4.708152    1       0.855263                   +  0.031147  0.035762    65    11      0  0.951586
ret_60_12        0.460526   3.155973    1       0.763158                   +  0.012427  0.022112    58    18      0  0.689407
resff3_12_1      0.776316   6.471311    1       0.894737                   +  0.016371  0.013856    68     8      0  0.886613
seas_1_1an       0.986842   4.516008    1       0.815789                   +  0.017743  0.020215    62    14      0  0.982607
at_gr1           0.460526  -1.068924   -1       0.552632                   - -0.004927  0.023872    34    42      0  0.474655
sale_gr1         0.210526  -0.488627    1       0.513158                   + -0.002021  0.021378    39    37      0  0.225046
capx_gr1         0.144737  -2.014759   -1       0.552632                   - -0.004157  0.011254    34    42      0  0.454706
inv_gr1          0.184211  -3.110795   -1       0.736842                   -  -0.00741   0.01249    20    56      0  0.549441
noa_gr1a         0.013158  -3.194077   -1       0.776316                   - -0.011125  0.017911    17    59      0   0.46719
emp_gr1          0.223684  -1.771551   -1       0.526316                   - -0.005717  0.016242    36    40      0  0.466493
beta_60m         0.697368  -3.351625   -1       0.802632                   - -0.018469  0.029798    15    61      0  0.814842
ivol_capm_21d    0.197368 -13.610591   -1            1.0                   - -0.071439  0.029172     0    76      0  0.598683
ivol_ff3_21d     0.026316 -13.357007   -1            1.0                   - -0.070843  0.029141     0    76      0  0.513156
rvol_21d         0.776316 -11.837335   -1       0.973684                   - -0.066546  0.031251     2    74      0  0.888151
rmax1_21d        0.000000 -12.316492   -1       0.973684                   - -0.061075  0.027583     2    74      0  0.499996
rmax5_21d        0.000000 -12.147482   -1       0.960526                   - -0.064415  0.029539     3    73      0  0.499995
rmax5_rvol_21d   0.973684  -3.615153   -1       0.802632                   - -0.013221  0.018203    15    61      0  0.960635
dolvol           0.921053   4.689223    1       0.802632                   +  0.018249  0.020724    61    15      0  0.951416
turnover_126d    1.000000  -5.229307   -1       0.815789                   - -0.024569  0.025924    14    62      0  0.994671
ami_126d         0.776316  -8.082661   -1       0.934211                   - -0.028912  0.019403     5    71      0  0.887849
bidaskhl_21d     1.000000 -11.702576   -1       0.960526                   - -0.064577  0.029761     3    73      0  0.999992
qmj              0.289474  14.770173    1            1.0                   +  0.033145  0.012489    76     0      0  0.644736
f_score          0.052632   7.812528    1       0.921053                   +  0.026883  0.017881    70     6      0  0.525911
o_score          0.368421 -12.534501   -1       0.986842                   - -0.041759  0.017349     1    75      0  0.684207
z_score          0.421053    1.91463    1       0.710526                   +   0.00791  0.020392    54    22      0  0.582065
oaccruals_at     0.907895  -0.281402   -1       0.552632                   - -0.000888  0.015758    34    42      0  0.523837
taccruals_at     0.907895   1.509896    1       0.618421                   +  0.004709  0.015401    47    29      0  0.772993
cash_at          1.000000  -3.452065   -1       0.815789                   -  -0.01894  0.027442    14    62      0  0.969293
chcsho_12m       0.000000  -7.917092   -1       0.934211                   - -0.034847  0.022967     5    71      0  0.499636
eqnpo_12m        1.000000  12.149902    1       0.986842                   +  0.054533  0.024002    75     1      0  0.999995
netis_at         1.000000   -7.93487   -1       0.947368                   - -0.035684  0.023132     4    72      0  0.999642
age              1.000000   8.138676    1       0.973684                   +  0.031904  0.020865    74     2      0  0.999708
at_me            1.000000   2.646816    1           0.75                   +  0.014892  0.028179    57    19      0  0.933814
niq_su           1.000000   4.746891    1       0.894737                   +  0.010312  0.011752    68     8      0  0.991396
mispricing_mgmt  1.000000    9.75958    1       0.947368                   +  0.026099  0.014322    72     4      0  0.999942
