Data Range: 2005-01 ~ 2024-11

=== Hyperparameters ===
Chosen HPs @ val_start=2019-01-01 | Ridge(all)=6.7e+05, Ridge(pca)=1.823e+04, Ridge(sel)=2.228e+06 | XGB(all)=(d=4, mcw=5.0), XGB(pca)=(d=3, mcw=1.0), XGB(sel)=(d=3, mcw=1.0)

=== Selection report ===
                 sel_freq     t_stat sign sign_stability dominant_sign_label   ic_mean    ic_std n_pos n_neg n_zero    feat_w
me               0.888889  17.516302    1            1.0                   +  0.047181  0.012963    72     0      0  0.944444
be_me            0.263889   2.682696    1       0.666667                   +  0.010466  0.018102    48    24      0  0.567942
sale_me          0.166667   5.059908    1       0.861111                   +  0.020919  0.018967    62    10      0  0.577027
ni_me            0.097222  14.646917    1            1.0                   +  0.047856  0.015391    72     0      0  0.548611
ocf_me           0.069444  12.741543    1            1.0                   +  0.044481  0.016061    72     0      0  0.534719
fcf_me           0.055556  15.443935    1            1.0                   +  0.050362  0.015026    72     0      0  0.527778
ebitda_mev       0.027778  12.452383    1            1.0                   +  0.046539  0.017276    72     0      0  0.513885
div12m_me        0.013889  10.468294    1            1.0                   +  0.030121  0.013912    72     0      0  0.506916
gp_at            0.083333   14.34477    1            1.0                   +   0.03119  0.010309    72     0      0  0.541666
ope_be           0.416667   22.53032    1            1.0                   +  0.043085  0.008961    72     0      0  0.708333
cop_at           0.152778  25.310981    1            1.0                   +   0.03693  0.006674    72     0      0  0.576389
ocf_at           0.222222  29.994657    1            1.0                   +  0.049465  0.007699    72     0      0  0.611111
op_at            0.180556  38.589211    1            1.0                   +  0.046481  0.006337    72     0      0  0.590278
niq_be           0.458333   18.62235    1            1.0                   +  0.050448  0.012519    72     0      0  0.729167
ret_1_0          1.000000  -1.310969   -1       0.583333                   - -0.005536   0.01959    30    42      0  0.787675
ret_6_1          0.875000   4.863941    1       0.861111                   +  0.022027   0.02078    62    10      0  0.929839
ret_12_1         0.805556   6.112366    1       0.902778                   +  0.029957  0.023136    65     7      0  0.900567
ret_60_12        0.458333   4.703976    1       0.791667                   +  0.012561  0.012913    57    15      0  0.720189
resff3_12_1      0.652778   8.790513    1            1.0                   +  0.015855  0.008551    72     0      0  0.826237
seas_1_1an       0.930556   5.069634    1       0.833333                   +  0.017337  0.015484    60    12      0  0.959032
at_gr1           0.513889  -1.717339   -1       0.652778                   - -0.005925  0.016468    25    47      0   0.60473
sale_gr1         0.250000  -0.966677    1       0.513889                   + -0.003041  0.014918    37    35      0  0.349457
capx_gr1         0.152778  -2.949907   -1       0.680556                   - -0.004657  0.007476    23    49      0  0.526648
inv_gr1          0.111111  -4.176774   -1          0.875                   - -0.007515  0.008618     9    63      0   0.54044
noa_gr1a         0.027778  -4.060801   -1       0.861111                   - -0.011425  0.013104    10    62      0  0.496946
emp_gr1          0.236111  -1.996828   -1       0.541667                   - -0.005428  0.012449    33    39      0  0.498519
beta_60m         0.708333  -4.750381   -1       0.819444                   - -0.018912  0.019545    13    59      0  0.845592
ivol_capm_21d    0.166667 -18.912285   -1            1.0                   - -0.070978  0.018078     0    72      0  0.583333
ivol_ff3_21d     0.000000  -18.16617   -1            1.0                   - -0.070389  0.018495     0    72      0       0.5
rvol_21d         0.833333 -16.349794   -1            1.0                   - -0.066095   0.01953     0    72      0  0.916667
rmax1_21d        0.000000 -17.132663   -1            1.0                   - -0.060851  0.017103     0    72      0       0.5
rmax5_21d        0.000000 -16.764987   -1            1.0                   - -0.064179  0.018335     0    72      0       0.5
rmax5_rvol_21d   0.986111  -4.391313   -1       0.763889                   - -0.014336  0.014889    17    55      0  0.980823
dolvol           0.888889   5.633554    1       0.847222                   +  0.018185  0.015226    61    11      0  0.940881
turnover_126d    0.972222  -6.422519   -1       0.944444                   - -0.023485  0.017335     4    68      0  0.984489
ami_126d         0.930556 -10.107323   -1            1.0                   - -0.028581  0.013567     0    72      0  0.965237
bidaskhl_21d     1.000000 -15.915518   -1            1.0                   - -0.064267  0.019232     0    72      0       1.0
qmj              0.263889  20.957839    1            1.0                   +  0.032996  0.007866    72     0      0  0.631944
f_score          0.041667  10.038557    1       0.972222                   +  0.026255  0.012412    70     2      0   0.52079
o_score          0.236111 -17.009931   -1            1.0                   - -0.041003   0.01167     0    72      0  0.618056
z_score          0.388889   2.234401    1           0.75                   +  0.007582  0.015689    54    18      0  0.597741
oaccruals_at     0.944444   -0.50315   -1       0.527778                   - -0.001378  0.012445    34    38      0  0.595421
taccruals_at     0.888889   1.567627    1       0.597222                   +  0.004167  0.012083    43    29      0   0.77189
cash_at          1.000000  -3.942265   -1       0.888889                   - -0.018234  0.020921     8    64      0  0.980965
chcsho_12m       0.000000  -9.979763   -1       0.986111                   - -0.034434  0.016371     1    71      0  0.499954
eqnpo_12m        1.000000  15.686367    1            1.0                   +   0.05422  0.016465    72     0      0       1.0
netis_at         1.000000  -9.929127   -1            1.0                   - -0.036248  0.016767     0    72      0  0.999951
age              1.000000   9.962841    1            1.0                   +  0.031132  0.014972    72     0      0  0.999953
at_me            1.000000   2.983505    1       0.791667                   +  0.014557  0.022334    57    15      0  0.951823
niq_su           1.000000   6.652682    1       0.958333                   +  0.010765  0.007815    69     3      0  0.998711
mispricing_mgmt  1.000000  13.177093    1            1.0                   +   0.02623  0.009395    72     0      0  0.999998
