Data Range: 2005-01 ~ 2024-11

=== Hyperparameters ===
Chosen HPs @ val_start=2019-01-01 | Ridge(all)=6.7e+05, Ridge(pca)=6.7e+05, Ridge(sel)=44.89 | XGB(all)=(d=4, mcw=5.0), XGB(pca)=(d=2, mcw=1.0), XGB(sel)=(d=3, mcw=3.0)

=== Selection report ===
                 sel_freq     t_stat sign sign_stability dominant_sign_label   ic_mean    ic_std n_pos n_neg n_zero    feat_w
me               1.000000  17.516302    1            1.0                   +  0.047181  0.012963    72     0      0       1.0
be_me            0.500000   2.682696    1       0.666667                   +  0.010466  0.018102    48    24      0  0.685998
sale_me          0.541667   5.059908    1       0.861111                   +  0.020919  0.018967    62    10      0  0.764527
ni_me            0.222222  14.646917    1            1.0                   +  0.047856  0.015391    72     0      0  0.611111
ocf_me           0.250000  12.741543    1            1.0                   +  0.044481  0.016061    72     0      0  0.624997
fcf_me           0.027778  15.443935    1            1.0                   +  0.050362  0.015026    72     0      0  0.513889
ebitda_mev       0.069444  12.452383    1            1.0                   +  0.046539  0.017276    72     0      0  0.534718
div12m_me        0.013889  10.468294    1            1.0                   +  0.030121  0.013912    72     0      0  0.506916
gp_at            0.125000   14.34477    1            1.0                   +   0.03119  0.010309    72     0      0  0.562499
ope_be           0.333333   22.53032    1            1.0                   +  0.043085  0.008961    72     0      0  0.666667
cop_at           0.083333  25.310981    1            1.0                   +   0.03693  0.006674    72     0      0  0.541667
ocf_at           0.625000  29.994657    1            1.0                   +  0.049465  0.007699    72     0      0    0.8125
op_at            0.361111  38.589211    1            1.0                   +  0.046481  0.006337    72     0      0  0.680556
niq_be           0.569444   18.62235    1            1.0                   +  0.050448  0.012519    72     0      0  0.784722
ret_1_0          1.000000  -1.310969   -1       0.583333                   - -0.005536   0.01959    30    42      0  0.787675
ret_6_1          0.875000   4.863941    1       0.861111                   +  0.022027   0.02078    62    10      0  0.929839
ret_12_1         0.902778   6.112366    1       0.902778                   +  0.029957  0.023136    65     7      0  0.949178
ret_60_12        0.388889   4.703976    1       0.791667                   +  0.012561  0.012913    57    15      0  0.685467
resff3_12_1      0.277778   8.790513    1            1.0                   +  0.015855  0.008551    72     0      0  0.638737
seas_1_1an       0.791667   5.069634    1       0.833333                   +  0.017337  0.015484    60    12      0  0.889588
at_gr1           0.263889  -1.717339   -1       0.652778                   - -0.005925  0.016468    25    47      0   0.47973
sale_gr1         0.319444  -0.966677    1       0.513889                   + -0.003041  0.014918    37    35      0  0.384179
capx_gr1         0.111111  -2.949907   -1       0.680556                   - -0.004657  0.007476    23    49      0  0.505815
inv_gr1          0.166667  -4.176774   -1          0.875                   - -0.007515  0.008618     9    63      0  0.568217
noa_gr1a         0.263889  -4.060801   -1       0.861111                   - -0.011425  0.013104    10    62      0  0.615001
emp_gr1          0.263889  -1.996828   -1       0.541667                   - -0.005428  0.012449    33    39      0  0.512408
beta_60m         0.791667  -4.750381   -1       0.819444                   - -0.018912  0.019545    13    59      0  0.887259
ivol_capm_21d    0.152778 -18.912285   -1            1.0                   - -0.070978  0.018078     0    72      0  0.576389
ivol_ff3_21d     0.000000  -18.16617   -1            1.0                   - -0.070389  0.018495     0    72      0       0.5
rvol_21d         0.847222 -16.349794   -1            1.0                   - -0.066095   0.01953     0    72      0  0.923611
rmax1_21d        0.000000 -17.132663   -1            1.0                   - -0.060851  0.017103     0    72      0       0.5
rmax5_21d        0.000000 -16.764987   -1            1.0                   - -0.064179  0.018335     0    72      0       0.5
rmax5_rvol_21d   0.847222  -4.391313   -1       0.763889                   - -0.014336  0.014889    17    55      0  0.911378
dolvol           0.000000   5.633554    1       0.847222                   +  0.018185  0.015226    61    11      0  0.496437
turnover_126d    0.916667  -6.422519   -1       0.944444                   - -0.023485  0.017335     4    68      0  0.956711
ami_126d         0.777778 -10.107323   -1            1.0                   - -0.028581  0.013567     0    72      0  0.888848
bidaskhl_21d     0.986111 -15.915518   -1            1.0                   - -0.064267  0.019232     0    72      0  0.993055
qmj              0.388889  20.957839    1            1.0                   +  0.032996  0.007866    72     0      0  0.694444
f_score          0.097222  10.038557    1       0.972222                   +  0.026255  0.012412    70     2      0  0.548567
o_score          0.319444 -17.009931   -1            1.0                   - -0.041003   0.01167     0    72      0  0.659722
z_score          0.569444   2.234401    1           0.75                   +  0.007582  0.015689    54    18      0  0.688019
oaccruals_at     0.263889   -0.50315   -1       0.527778                   - -0.001378  0.012445    34    38      0  0.255144
taccruals_at     0.055556   1.567627    1       0.597222                   +  0.004167  0.012083    43    29      0  0.355223
cash_at          0.833333  -3.942265   -1       0.888889                   - -0.018234  0.020921     8    64      0  0.897632
chcsho_12m       0.000000  -9.979763   -1       0.986111                   - -0.034434  0.016371     1    71      0  0.499954
eqnpo_12m        1.000000  15.686367    1            1.0                   +   0.05422  0.016465    72     0      0       1.0
netis_at         0.750000  -9.929127   -1            1.0                   - -0.036248  0.016767     0    72      0  0.874951
age              1.000000   9.962841    1            1.0                   +  0.031132  0.014972    72     0      0  0.999953
at_me            0.541667   2.983505    1       0.791667                   +  0.014557  0.022334    57    15      0  0.722657
niq_su           0.972222   6.652682    1       0.958333                   +  0.010765  0.007815    69     3      0  0.984822
mispricing_mgmt  0.958333  13.177093    1            1.0                   +   0.02623  0.009395    72     0      0  0.979165
