Data Range: 2005-01 ~ 2024-11

=== Hyperparameters ===
Chosen HPs @ val_start=2019-01-01 | Ridge(all)=1650, Ridge(pca)=7.406e+06, Ridge(sel)=0.1105 | XGB(all)=(d=3, mcw=5.0), XGB(pca)=(d=4, mcw=5.0), XGB(sel)=(d=2, mcw=3.0)

=== Selection report ===
                 sel_freq     t_stat sign sign_stability dominant_sign_label   ic_mean    ic_std n_pos n_neg n_zero    feat_w
me               1.000000  36.787038    1            1.0                   +  0.045773  0.005785    64     0      0       1.0
be_me            0.453125   3.833201    1        0.84375                   +  0.009439  0.010886    54    10      0  0.705381
sale_me          0.468750   8.161533    1            1.0                   +  0.019905  0.010762    64     0      0   0.73409
ni_me            0.234375   23.24211    1            1.0                   +   0.04624  0.008802    64     0      0  0.617187
ocf_me           0.234375  19.492376    1            1.0                   +  0.043035  0.009825    64     0      0  0.617187
fcf_me           0.031250  21.131307    1            1.0                   +  0.050516  0.010245    64     0      0  0.515625
ebitda_mev       0.062500   22.16933    1            1.0                   +  0.045095  0.009172    64     0      0   0.53125
div12m_me        0.062500  18.458622    1            1.0                   +  0.028464  0.007317    64     0      0   0.53125
gp_at            0.093750  17.022383    1            1.0                   +  0.032063  0.008013    64     0      0  0.546875
ope_be           0.296875  30.504047    1            1.0                   +  0.042308  0.006083    64     0      0  0.648437
cop_at           0.015625  27.004886    1            1.0                   +  0.036907  0.005676    64     0      0  0.507812
ocf_at           0.625000  37.534733    1            1.0                   +  0.048713   0.00552    64     0      0    0.8125
op_at            0.375000   74.15384    1            1.0                   +  0.046069  0.003095    64     0      0    0.6875
niq_be           0.531250  24.975795    1            1.0                   +  0.049549  0.008502    64     0      0  0.765625
ret_1_0          1.000000  -1.912092   -1       0.640625                   - -0.006877  0.015083    23    41      0  0.871254
ret_6_1          0.812500   6.547384    1        0.90625                   +  0.019981  0.013131    58     6      0  0.904818
ret_12_1         0.828125   9.509649    1            1.0                   +  0.026947  0.012763    64     0      0  0.913988
ret_60_12        0.593750   9.464297    1       0.984375                   +  0.013463   0.00638    63     1      0  0.796797
resff3_12_1      0.312500  10.457005    1            1.0                   +  0.015448  0.006335    64     0      0  0.656221
seas_1_1an       0.687500   5.534514    1          0.875                   +  0.017607  0.013171    56     8      0  0.839817
at_gr1           0.296875  -3.883918   -1         0.8125                   - -0.006833  0.007718    12    52      0  0.628282
sale_gr1         0.406250  -1.812407   -1       0.546875                   - -0.003392  0.008042    29    35      0  0.562778
capx_gr1         0.046875  -4.002566   -1       0.796875                   - -0.004463  0.004785    13    51      0  0.505497
inv_gr1          0.093750  -8.315173   -1       0.953125                   - -0.008383  0.004488     3    61      0   0.54663
noa_gr1a         0.375000  -6.403912   -1       0.984375                   - -0.012288  0.008157     1    63      0  0.685848
emp_gr1          0.156250  -2.344622   -1       0.640625                   - -0.003979  0.007405    23    41      0  0.490631
beta_60m         0.875000  -8.041835   -1       0.984375                   - -0.019105  0.010424     1    63      0  0.937178
ivol_capm_21d    0.000000 -32.504783   -1            1.0                   -  -0.06977  0.009637     0    64      0       0.5
ivol_ff3_21d     0.000000  -29.69103   -1            1.0                   - -0.069262  0.010363     0    64      0       0.5
rvol_21d         1.000000 -28.125645   -1            1.0                   - -0.064783  0.010425     0    64      0       1.0
rmax1_21d        0.000000 -27.940659   -1            1.0                   -  -0.06002  0.009563     0    64      0       0.5
rmax5_21d        0.000000 -26.304795   -1            1.0                   - -0.063477  0.010645     0    64      0       0.5
rmax5_rvol_21d   0.859375  -7.148104   -1        0.96875                   - -0.016026  0.009571     2    62      0  0.928902
dolvol           0.000000   9.484007    1       0.984375                   +  0.018171  0.008367    63     1      0  0.499924
turnover_126d    0.968750  -8.950164   -1            1.0                   - -0.021906  0.010968     0    64      0  0.984245
ami_126d         0.812500 -18.746939   -1            1.0                   - -0.028299  0.006707     0    64      0   0.90625
bidaskhl_21d     1.000000 -27.914619   -1            1.0                   - -0.063725  0.010093     0    64      0       1.0
qmj              0.375000  35.961535    1            1.0                   +  0.033521  0.004204    64     0      0    0.6875
f_score          0.062500  17.198014    1            1.0                   +   0.02581   0.00652    64     0      0   0.53125
o_score          0.140625 -40.766409   -1            1.0                   -  -0.04026  0.004469     0    64      0  0.570312
z_score          0.265625   4.235265    1         0.8125                   +  0.008873  0.008991    52    12      0  0.618543
oaccruals_at     0.265625   -0.86287    0            0.5                 tie -0.002052  0.009888    32    32      0  0.336072
taccruals_at     0.078125   2.091065    1       0.640625                   +  0.004304  0.008587    41    23      0  0.429094
cash_at          0.859375  -4.796239   -1         0.9375                   - -0.015923  0.014384     4    60      0  0.921494
chcsho_12m       0.000000 -17.399151   -1            1.0                   - -0.033273  0.008572     0    64      0       0.5
eqnpo_12m        1.000000  28.811137    1            1.0                   +  0.053005  0.008428    64     0      0       1.0
netis_at         0.937500 -14.149779   -1            1.0                   -  -0.03619  0.011006     0    64      0  0.968749
age              1.000000  15.321805    1            1.0                   +  0.029539   0.00867    64     0      0       1.0
at_me            0.546875   4.155188    1       0.859375                   +  0.013365  0.014047    55     9      0  0.757997
niq_su           1.000000  10.210706    1            1.0                   +  0.010463  0.004446    64     0      0  0.999963
mispricing_mgmt  1.000000  21.388412    1            1.0                   +  0.025844   0.00533    64     0      0       1.0
