Data Range: 2005-01 ~ 2024-11

=== Hyperparameters ===
Chosen HPs @ val_start=2019-01-01 | Ridge(all)=1650, Ridge(pca)=0.3675, Ridge(sel)=0.01 | XGB(all)=(d=3, mcw=5.0), XGB(pca)=(d=4, mcw=3.0), XGB(sel)=(d=4, mcw=5.0)

=== Selection report ===
                 sel_freq     t_stat sign sign_stability dominant_sign_label   ic_mean    ic_std n_pos n_neg n_zero    feat_w
me               0.843750  36.787038    1            1.0                   +  0.045773  0.005785    64     0      0  0.921875
be_me            0.203125   3.833201    1        0.84375                   +  0.009439  0.010886    54    10      0  0.580381
sale_me          0.109375   8.161533    1            1.0                   +  0.019905  0.010762    64     0      0  0.554402
ni_me            0.109375   23.24211    1            1.0                   +   0.04624  0.008802    64     0      0  0.554687
ocf_me           0.015625  19.492376    1            1.0                   +  0.043035  0.009825    64     0      0  0.507812
fcf_me           0.015625  21.131307    1            1.0                   +  0.050516  0.010245    64     0      0  0.507812
ebitda_mev       0.062500   22.16933    1            1.0                   +  0.045095  0.009172    64     0      0   0.53125
div12m_me        0.015625  18.458622    1            1.0                   +  0.028464  0.007317    64     0      0  0.507812
gp_at            0.140625  17.022383    1            1.0                   +  0.032063  0.008013    64     0      0  0.570312
ope_be           0.546875  30.504047    1            1.0                   +  0.042308  0.006083    64     0      0  0.773437
cop_at           0.109375  27.004886    1            1.0                   +  0.036907  0.005676    64     0      0  0.554687
ocf_at           0.390625  37.534733    1            1.0                   +  0.048713   0.00552    64     0      0  0.695312
op_at            0.328125   74.15384    1            1.0                   +  0.046069  0.003095    64     0      0  0.664062
niq_be           0.421875  24.975795    1            1.0                   +  0.049549  0.008502    64     0      0  0.710937
ret_1_0          1.000000  -1.912092   -1       0.640625                   - -0.006877  0.015083    23    41      0  0.871254
ret_6_1          0.859375   6.547384    1        0.90625                   +  0.019981  0.013131    58     6      0  0.928256
ret_12_1         0.796875   9.509649    1            1.0                   +  0.026947  0.012763    64     0      0  0.898363
ret_60_12        0.640625   9.464297    1       0.984375                   +  0.013463   0.00638    63     1      0  0.820235
resff3_12_1      0.812500  10.457005    1            1.0                   +  0.015448  0.006335    64     0      0  0.906221
seas_1_1an       0.953125   5.534514    1          0.875                   +  0.017607  0.013171    56     8      0   0.97263
at_gr1           0.578125  -3.883918   -1         0.8125                   - -0.006833  0.007718    12    52      0  0.768907
sale_gr1         0.281250  -1.812407   -1       0.546875                   - -0.003392  0.008042    29    35      0  0.500278
capx_gr1         0.046875  -4.002566   -1       0.796875                   - -0.004463  0.004785    13    51      0  0.505497
inv_gr1          0.140625  -8.315173   -1       0.953125                   - -0.008383  0.004488     3    61      0  0.570068
noa_gr1a         0.031250  -6.403912   -1       0.984375                   - -0.012288  0.008157     1    63      0  0.513973
emp_gr1          0.109375  -2.344622   -1       0.640625                   - -0.003979  0.007405    23    41      0  0.467193
beta_60m         0.812500  -8.041835   -1       0.984375                   - -0.019105  0.010424     1    63      0  0.905928
ivol_capm_21d    0.000000 -32.504783   -1            1.0                   -  -0.06977  0.009637     0    64      0       0.5
ivol_ff3_21d     0.000000  -29.69103   -1            1.0                   - -0.069262  0.010363     0    64      0       0.5
rvol_21d         1.000000 -28.125645   -1            1.0                   - -0.064783  0.010425     0    64      0       1.0
rmax1_21d        0.953125 -27.940659   -1            1.0                   -  -0.06002  0.009563     0    64      0  0.976562
rmax5_21d        0.000000 -26.304795   -1            1.0                   - -0.063477  0.010645     0    64      0       0.5
rmax5_rvol_21d   1.000000  -7.148104   -1        0.96875                   - -0.016026  0.009571     2    62      0  0.999214
dolvol           0.984375   9.484007    1       0.984375                   +  0.018171  0.008367    63     1      0  0.992111
turnover_126d    1.000000  -8.950164   -1            1.0                   - -0.021906  0.010968     0    64      0   0.99987
ami_126d         0.875000 -18.746939   -1            1.0                   - -0.028299  0.006707     0    64      0    0.9375
bidaskhl_21d     1.000000 -27.914619   -1            1.0                   - -0.063725  0.010093     0    64      0       1.0
qmj              0.109375  35.961535    1            1.0                   +  0.033521  0.004204    64     0      0  0.554687
f_score          0.046875  17.198014    1            1.0                   +   0.02581   0.00652    64     0      0  0.523437
o_score          0.062500 -40.766409   -1            1.0                   -  -0.04026  0.004469     0    64      0   0.53125
z_score          0.125000   4.235265    1         0.8125                   +  0.008873  0.008991    52    12      0  0.548231
oaccruals_at     1.000000   -0.86287    0            0.5                 tie -0.002052  0.009888    32    32      0   0.70326
taccruals_at     1.000000   2.091065    1       0.640625                   +  0.004304  0.008587    41    23      0  0.890032
cash_at          1.000000  -4.796239   -1         0.9375                   - -0.015923  0.014384     4    60      0  0.991807
chcsho_12m       0.000000 -17.399151   -1            1.0                   - -0.033273  0.008572     0    64      0       0.5
eqnpo_12m        1.000000  28.811137    1            1.0                   +  0.053005  0.008428    64     0      0       1.0
netis_at         1.000000 -14.149779   -1            1.0                   -  -0.03619  0.011006     0    64      0  0.999999
age              1.000000  15.321805    1            1.0                   +  0.029539   0.00867    64     0      0       1.0
at_me            1.000000   4.155188    1       0.859375                   +  0.013365  0.014047    55     9      0  0.984559
niq_su           1.000000  10.210706    1            1.0                   +  0.010463  0.004446    64     0      0  0.999963
mispricing_mgmt  1.000000  21.388412    1            1.0                   +  0.025844   0.00533    64     0      0       1.0
