Data Range: 2005-01 ~ 2024-11

=== Hyperparameters ===
Chosen HPs @ val_start=2019-01-01 | Ridge(all)=5484, Ridge(pca)=13.5, Ridge(sel)=2.015e+05 | XGB(all)=(d=3, mcw=5.0), XGB(pca)=(d=4, mcw=1.0), XGB(sel)=(d=4, mcw=3.0)

=== Selection report ===
                 sel_freq     t_stat sign sign_stability dominant_sign_label   ic_mean    ic_std n_pos n_neg n_zero    feat_w
me               0.974359  12.071036    1       0.974359                   +  0.048312  0.026517    76     2      0  0.987174
be_me            0.230769   2.194808    1       0.653846                   +  0.010988  0.032188    51    27      0  0.515167
sale_me          0.230769   4.154081    1       0.782051                   +  0.020773  0.030288    61    17      0  0.599927
ni_me            0.038462  11.292511    1       0.974359                   +  0.049262  0.028554    76     2      0  0.519218
ocf_me           0.051282  10.237486    1       0.974359                   +   0.04505  0.027047    76     2      0  0.525605
fcf_me           0.038462  11.157451    1       0.987179                   +  0.049881  0.027559    77     1      0  0.519217
ebitda_mev       0.038462  10.038214    1       0.961538                   +  0.047499   0.02851    75     3      0  0.519187
div12m_me        0.025641   7.182118    1       0.871795                   +  0.030273  0.030964    68    10      0  0.512061
gp_at            0.051282   9.910069    1       0.935897                   +  0.030266  0.021814    73     5      0  0.525591
ope_be           0.358974  15.418305    1       0.987179                   +  0.043632  0.018433    77     1      0  0.679487
cop_at           0.064103  19.875967    1            1.0                   +  0.036607  0.012351    78     0      0  0.532051
ocf_at           0.076923  21.232265    1            1.0                   +  0.049296  0.015879    78     0      0  0.538462
op_at            0.051282  21.633472    1            1.0                   +   0.04664  0.016396    78     0      0  0.525641
niq_be           0.153846  13.169184    1       0.987179                   +  0.051299  0.024063    77     1      0  0.576921
ret_1_0          1.000000  -1.017086   -1       0.576923                   - -0.005632  0.037815    33    45      0  0.734405
ret_6_1          1.000000   4.120491    1       0.794872                   +  0.022512  0.036386    62    16      0  0.984023
ret_12_1         0.974359   4.203801    1       0.769231                   +  0.031891  0.048912    60    18      0  0.972461
ret_60_12        0.358974   2.733234    1       0.717949                   +  0.012548  0.032631    56    22      0  0.618447
resff3_12_1      0.948718   5.712914    1       0.833333                   +  0.016792  0.018972    65    13      0  0.971067
seas_1_1an       1.000000   4.334148    1       0.692308                   +  0.019059  0.026603    54    24      0  0.987057
at_gr1           0.153846   -0.83076   -1       0.525641                   - -0.004241  0.031751    37    41      0  0.273439
sale_gr1         0.141026  -0.339123    1       0.576923                   + -0.001525  0.027823    45    33      0   0.15449
capx_gr1         0.089744  -1.555654   -1       0.538462                   - -0.003683  0.015767    36    42      0  0.370601
inv_gr1          0.064103  -2.633192   -1       0.666667                   - -0.007058   0.01697    26    52      0  0.465019
noa_gr1a         0.012821  -2.848117   -1       0.679487                   - -0.010848  0.023726    25    53      0  0.451632
emp_gr1          0.076923  -1.569293   -1       0.525641                   - -0.005437  0.021437    37    41      0  0.366144
beta_60m         0.576923  -2.960282   -1       0.641026                   - -0.018272  0.044097    28    50      0  0.739209
ivol_capm_21d    0.243590 -11.776608   -1       0.974359                   - -0.071049  0.040139     2    76      0  0.621787
ivol_ff3_21d     0.115385 -11.647439   -1       0.974359                   - -0.070444  0.039466     2    76      0  0.557684
rvol_21d         0.692308 -10.237993   -1       0.935897                   - -0.066102  0.044171     5    73      0  0.846118
rmax1_21d        0.666667 -10.604979   -1       0.961538                   -  -0.06082  0.038138     3    75      0  0.833309
rmax5_21d        0.243590 -10.443081   -1       0.961538                   - -0.064161  0.040726     3    75      0  0.621766
rmax5_rvol_21d   1.000000  -3.371231   -1        0.74359                   - -0.012877  0.023437    20    58      0  0.966793
dolvol           0.987179   4.287759    1       0.730769                   +  0.018344  0.029178    57    21      0   0.98004
turnover_126d    1.000000  -4.583489   -1       0.769231                   - -0.024899  0.038276    18    60      0  0.989884
ami_126d         0.782051  -7.293175   -1       0.884615                   -  -0.02924   0.02697     9    69      0  0.890346
bidaskhl_21d     1.000000 -10.370063   -1       0.935897                   - -0.063998  0.039596     5    73      0  0.999969
qmj              0.256410  12.890347    1       0.961538                   +  0.033168  0.019961    75     3      0  0.628203
f_score          0.000000   7.094058    1       0.935897                   +  0.026575  0.023458    73     5      0  0.499171
o_score          0.205128 -11.406012   -1       0.974359                   - -0.041792  0.021983     2    76      0  0.602553
z_score          0.205128    1.81813    1       0.692308                   +  0.007975  0.025818    54    24      0  0.462906
oaccruals_at     0.948718  -0.194622   -1       0.538462                   - -0.000659  0.020623    36    42      0  0.522861
taccruals_at     0.974359   1.506308    1       0.589744                   +     0.005  0.019311    46    32      0  0.805693
cash_at          0.974359  -3.299198   -1       0.730769                   - -0.019474   0.03391    21    57      0  0.951581
chcsho_12m       0.000000   -7.17744   -1       0.897436                   - -0.034512  0.029745     8    70      0  0.499237
eqnpo_12m        1.000000   10.83984    1       0.974359                   +  0.054149  0.032455    76     2      0   0.99998
netis_at         1.000000  -7.124664   -1       0.884615                   - -0.035409  0.029161     9    69      0  0.999196
age              1.000000   7.377637    1       0.858974                   +  0.032036  0.028913    67    11      0  0.999375
at_me            1.000000   2.535181    1       0.653846                   +  0.015075  0.035853    51    27      0  0.926572
niq_su           1.000000   4.443306    1       0.782051                   +  0.010578  0.014501    61    17      0   0.98838
mispricing_mgmt  1.000000    8.55349    1       0.935897                   +  0.025749  0.019433    73     5      0  0.999807
