,ret_60_12,capx_gr1,mispricing_mgmt,emp_gr1,noa_gr1a,inv_gr1,at_gr1,sale_gr1,beta_60m,bidaskhl_21d,rmax5_21d,rmax1_21d,rvol_21d,ivol_capm_21d,ivol_ff3_21d,ami_126d,turnover_126d,me,dolvol,ret_1_0,rmax5_rvol_21d,oaccruals_at,taccruals_at,netis_at,cash_at,at_me,z_score,o_score,f_score,qmj,niq_be,op_at,ocf_at,cop_at,ope_be,gp_at,ebitda_mev,fcf_me,ocf_me,ni_me,be_me,sale_me,age,div12m_me,chcsho_12m,eqnpo_12m,niq_su,seas_1_1an,resff3_12_1,ret_6_1,ret_12_1
ret_60_12,1.0,0.5131578947368421,0.5263157894736842,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.3026315789473684,0.3026315789473684,0.3026315789473684,0.3026315789473684,0.3026315789473684,0.3026315789473684,0.3026315789473684,0.27631578947368424,0.27631578947368424,0.27631578947368424,0.27631578947368424,0.06578947368421052,0.13157894736842105,0.34210526315789475,0.34210526315789475,0.5131578947368421,0.5,0.5657894736842105,0.5657894736842105,0.5657894736842105,0.5657894736842105,0.5657894736842105,0.5657894736842105,0.5657894736842105,0.5657894736842105,0.5657894736842105,0.5657894736842105,0.5657894736842105,0.5657894736842105,0.5657894736842105,0.5657894736842105,0.5657894736842105,0.5657894736842105,0.5657894736842105,0.4473684210526316,0.4473684210526316,0.47368421052631576,0.47368421052631576,0.013157894736842105,0.02631578947368421,0.039473684210526314,0.02631578947368421,0.02631578947368421
capx_gr1,0.5131578947368421,1.0,0.9342105263157895,0.9605263157894737,0.9605263157894737,0.9605263157894737,0.9605263157894737,0.9605263157894737,0.06578947368421052,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.0,0.34210526315789475,0.34210526315789475,0.4342105263157895,0.11842105263157894,0.14473684210526316,0.14473684210526316,0.14473684210526316,0.14473684210526316,0.14473684210526316,0.14473684210526316,0.14473684210526316,0.14473684210526316,0.14473684210526316,0.14473684210526316,0.14473684210526316,0.14473684210526316,0.14473684210526316,0.14473684210526316,0.14473684210526316,0.14473684210526316,0.14473684210526316,0.14473684210526316,0.13157894736842105,0.15789473684210525,0.15789473684210525,0.0,0.0,0.013157894736842105,0.0,0.0
mispricing_mgmt,0.5263157894736842,0.9342105263157895,1.0,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.07894736842105263,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.013157894736842105,0.013157894736842105,0.39473684210526316,0.39473684210526316,0.4868421052631579,0.14473684210526316,0.19736842105263158,0.19736842105263158,0.19736842105263158,0.19736842105263158,0.19736842105263158,0.19736842105263158,0.19736842105263158,0.19736842105263158,0.19736842105263158,0.19736842105263158,0.19736842105263158,0.19736842105263158,0.19736842105263158,0.19736842105263158,0.19736842105263158,0.19736842105263158,0.19736842105263158,0.21052631578947367,0.19736842105263158,0.2236842105263158,0.2236842105263158,0.0,0.0,0.013157894736842105,0.0,0.0
emp_gr1,0.5526315789473685,0.9605263157894737,0.9736842105263158,1.0,1.0,1.0,1.0,1.0,0.06578947368421052,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.0,0.3815789473684211,0.3815789473684211,0.47368421052631576,0.13157894736842105,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.17105263157894737,0.19736842105263158,0.19736842105263158,0.0,0.0,0.013157894736842105,0.0,0.0
noa_gr1a,0.5526315789473685,0.9605263157894737,0.9736842105263158,1.0,1.0,1.0,1.0,1.0,0.06578947368421052,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.0,0.3815789473684211,0.3815789473684211,0.47368421052631576,0.13157894736842105,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.17105263157894737,0.19736842105263158,0.19736842105263158,0.0,0.0,0.013157894736842105,0.0,0.0
inv_gr1,0.5526315789473685,0.9605263157894737,0.9736842105263158,1.0,1.0,1.0,1.0,1.0,0.06578947368421052,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.0,0.3815789473684211,0.3815789473684211,0.47368421052631576,0.13157894736842105,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.17105263157894737,0.19736842105263158,0.19736842105263158,0.0,0.0,0.013157894736842105,0.0,0.0
at_gr1,0.5526315789473685,0.9605263157894737,0.9736842105263158,1.0,1.0,1.0,1.0,1.0,0.06578947368421052,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.0,0.3815789473684211,0.3815789473684211,0.47368421052631576,0.13157894736842105,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.17105263157894737,0.19736842105263158,0.19736842105263158,0.0,0.0,0.013157894736842105,0.0,0.0
sale_gr1,0.5526315789473685,0.9605263157894737,0.9736842105263158,1.0,1.0,1.0,1.0,1.0,0.06578947368421052,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.0,0.3815789473684211,0.3815789473684211,0.47368421052631576,0.13157894736842105,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.17105263157894737,0.19736842105263158,0.19736842105263158,0.0,0.0,0.013157894736842105,0.0,0.0
beta_60m,0.3026315789473684,0.06578947368421052,0.07894736842105263,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,1.0,0.9210526315789473,0.9210526315789473,0.9210526315789473,0.9210526315789473,0.9210526315789473,0.9210526315789473,0.8552631578947368,0.8552631578947368,0.8552631578947368,0.8552631578947368,0.5789473684210527,0.75,0.13157894736842105,0.13157894736842105,0.25,0.4473684210526316,0.40789473684210525,0.40789473684210525,0.40789473684210525,0.40789473684210525,0.40789473684210525,0.40789473684210525,0.40789473684210525,0.40789473684210525,0.40789473684210525,0.40789473684210525,0.40789473684210525,0.40789473684210525,0.40789473684210525,0.40789473684210525,0.40789473684210525,0.40789473684210525,0.40789473684210525,0.6052631578947368,0.5657894736842105,0.5657894736842105,0.5657894736842105,0.0,0.013157894736842105,0.039473684210526314,0.05263157894736842,0.05263157894736842
bidaskhl_21d,0.3026315789473684,0.07894736842105263,0.09210526315789473,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.9210526315789473,1.0,1.0,1.0,1.0,1.0,1.0,0.9342105263157895,0.9342105263157895,0.9342105263157895,0.9342105263157895,0.6052631578947368,0.7894736842105263,0.17105263157894737,0.17105263157894737,0.2631578947368421,0.47368421052631576,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.631578947368421,0.5921052631578947,0.5789473684210527,0.5789473684210527,0.0,0.02631578947368421,0.05263157894736842,0.06578947368421052,0.06578947368421052
