,mispricing_mgmt,capx_gr1,emp_gr1,noa_gr1a,inv_gr1,at_gr1,sale_gr1,ret_60_12,oaccruals_at,taccruals_at,netis_at,cash_at,at_me,z_score,o_score,f_score,qmj,niq_be,op_at,ocf_at,cop_at,ope_be,gp_at,ebitda_mev,fcf_me,ocf_me,ni_me,be_me,sale_me,age,eqnpo_12m,div12m_me,chcsho_12m,ret_1_0,rmax5_rvol_21d,ami_126d,turnover_126d,me,dolvol,beta_60m,bidaskhl_21d,rmax5_21d,rmax1_21d,rvol_21d,ivol_capm_21d,ivol_ff3_21d,niq_su,seas_1_1an,resff3_12_1,ret_6_1,ret_12_1
mispricing_mgmt,1.0,0.9444444444444444,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.5,0.3611111111111111,0.3611111111111111,0.4444444444444444,0.1527777777777778,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.18055555555555555,0.18055555555555555,0.18055555555555555,0.013888888888888888,0.013888888888888888,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.013888888888888888,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.0,0.013888888888888888,0.0,0.0
capx_gr1,0.9444444444444444,1.0,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.5,0.3194444444444444,0.3194444444444444,0.4027777777777778,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.1111111111111111,0.125,0.125,0.125,0.0,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.0,0.013888888888888888,0.0,0.0
emp_gr1,0.9722222222222222,0.9722222222222222,1.0,1.0,1.0,1.0,1.0,0.5277777777777778,0.3472222222222222,0.3472222222222222,0.4305555555555556,0.1388888888888889,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1388888888888889,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.0,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.0,0.013888888888888888,0.0,0.0
noa_gr1a,0.9722222222222222,0.9722222222222222,1.0,1.0,1.0,1.0,1.0,0.5277777777777778,0.3472222222222222,0.3472222222222222,0.4305555555555556,0.1388888888888889,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1388888888888889,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.0,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.0,0.013888888888888888,0.0,0.0
inv_gr1,0.9722222222222222,0.9722222222222222,1.0,1.0,1.0,1.0,1.0,0.5277777777777778,0.3472222222222222,0.3472222222222222,0.4305555555555556,0.1388888888888889,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1388888888888889,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.0,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.0,0.013888888888888888,0.0,0.0
at_gr1,0.9722222222222222,0.9722222222222222,1.0,1.0,1.0,1.0,1.0,0.5277777777777778,0.3472222222222222,0.3472222222222222,0.4305555555555556,0.1388888888888889,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1388888888888889,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.0,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.0,0.013888888888888888,0.0,0.0
sale_gr1,0.9722222222222222,0.9722222222222222,1.0,1.0,1.0,1.0,1.0,0.5277777777777778,0.3472222222222222,0.3472222222222222,0.4305555555555556,0.1388888888888889,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1388888888888889,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.0,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.0,0.013888888888888888,0.0,0.0
ret_60_12,0.5,0.5,0.5277777777777778,0.5277777777777778,0.5277777777777778,0.5277777777777778,0.5277777777777778,1.0,0.4722222222222222,0.4722222222222222,0.5555555555555556,0.5694444444444444,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4861111111111111,0.5138888888888888,0.5138888888888888,0.5138888888888888,0.013888888888888888,0.125,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.20833333333333334,0.2361111111111111,0.2361111111111111,0.2361111111111111,0.2361111111111111,0.2361111111111111,0.2361111111111111,0.027777777777777776,0.027777777777777776,0.041666666666666664,0.027777777777777776,0.027777777777777776
oaccruals_at,0.3611111111111111,0.3194444444444444,0.3472222222222222,0.3472222222222222,0.3472222222222222,0.3472222222222222,0.3472222222222222,0.4722222222222222,1.0,1.0,0.6111111111111112,0.6111111111111112,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.4583333333333333,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.0,0.09722222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.125,0.1388888888888889,0.1388888888888889,0.1388888888888889,0.1388888888888889,0.1388888888888889,0.1388888888888889,0.0,0.0,0.0,0.013888888888888888,0.013888888888888888
taccruals_at,0.3611111111111111,0.3194444444444444,0.3472222222222222,0.3472222222222222,0.3472222222222222,0.3472222222222222,0.3472222222222222,0.4722222222222222,1.0,1.0,0.6111111111111112,0.6111111111111112,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.4583333333333333,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.0,0.09722222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.125,0.1388888888888889,0.1388888888888889,0.1388888888888889,0.1388888888888889,0.1388888888888889,0.1388888888888889,0.0,0.0,0.0,0.013888888888888888,0.013888888888888888
