,niq_su,seas_1_1an,resff3_12_1,ret_6_1,ret_12_1,mispricing_mgmt,emp_gr1,noa_gr1a,inv_gr1,capx_gr1,at_gr1,sale_gr1,ret_1_0,age,eqnpo_12m,div12m_me,chcsho_12m,ami_126d,turnover_126d,me,dolvol,rmax5_rvol_21d,bidaskhl_21d,rmax5_21d,rmax1_21d,rvol_21d,ivol_ff3_21d,beta_60m,ivol_capm_21d,ret_60_12,netis_at,oaccruals_at,taccruals_at,cash_at,at_me,z_score,o_score,f_score,qmj,niq_be,op_at,ocf_at,cop_at,ope_be,gp_at,ebitda_mev,fcf_me,ocf_me,ni_me,be_me,sale_me
niq_su,1.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seas_1_1an,0.25,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resff3_12_1,0.25,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ret_6_1,0.25,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ret_12_1,0.25,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mispricing_mgmt,0.0,0.0,0.0,0.0,0.0,1.0,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.0,0.109375,0.109375,0.109375,0.109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.390625,0.375,0.203125,0.203125,0.09375,0.109375,0.109375,0.109375,0.109375,0.109375,0.109375,0.109375,0.109375,0.109375,0.109375,0.109375,0.109375,0.109375,0.109375,0.109375,0.109375,0.109375
emp_gr1,0.0,0.0,0.0,0.0,0.0,0.984375,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.09375,0.09375,0.09375,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40625,0.359375,0.1875,0.1875,0.078125,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375
noa_gr1a,0.0,0.0,0.0,0.0,0.0,0.984375,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.09375,0.09375,0.09375,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40625,0.359375,0.1875,0.1875,0.078125,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375
inv_gr1,0.0,0.0,0.0,0.0,0.0,0.984375,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.09375,0.09375,0.09375,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40625,0.359375,0.1875,0.1875,0.078125,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375
capx_gr1,0.0,0.0,0.0,0.0,0.0,0.984375,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.09375,0.09375,0.09375,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40625,0.359375,0.1875,0.1875,0.078125,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375
at_gr1,0.0,0.0,0.0,0.0,0.0,0.984375,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.09375,0.09375,0.09375,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40625,0.359375,0.1875,0.1875,0.078125,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375
sale_gr1,0.0,0.0,0.0,0.0,0.0,0.984375,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.09375,0.09375,0.09375,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40625,0.359375,0.1875,0.1875,0.078125,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375
ret_1_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.359375,0.359375,0.359375,0.359375,0.375,0.375,0.375,0.375,0.46875,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.0,0.078125,0.0,0.0,0.078125,0.078125,0.078125,0.078125,0.078125,0.078125,0.078125,0.078125,0.078125,0.078125,0.078125,0.078125,0.078125,0.078125,0.078125,0.078125,0.078125,0.078125
age,0.0,0.0,0.0,0.0,0.0,0.109375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.359375,1.0,1.0,1.0,1.0,0.703125,0.703125,0.703125,0.703125,0.734375,0.765625,0.765625,0.765625,0.765625,0.765625,0.765625,0.765625,0.34375,0.5,0.421875,0.421875,0.640625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625
eqnpo_12m,0.0,0.0,0.0,0.0,0.0,0.109375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.359375,1.0,1.0,1.0,1.0,0.703125,0.703125,0.703125,0.703125,0.734375,0.765625,0.765625,0.765625,0.765625,0.765625,0.765625,0.765625,0.34375,0.5,0.421875,0.421875,0.640625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625
div12m_me,0.0,0.0,0.0,0.0,0.0,0.109375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.359375,1.0,1.0,1.0,1.0,0.703125,0.703125,0.703125,0.703125,0.734375,0.765625,0.765625,0.765625,0.765625,0.765625,0.765625,0.765625,0.34375,0.5,0.421875,0.421875,0.640625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625
chcsho_12m,0.0,0.0,0.0,0.0,0.0,0.109375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.359375,1.0,1.0,1.0,1.0,0.703125,0.703125,0.703125,0.703125,0.734375,0.765625,0.765625,0.765625,0.765625,0.765625,0.765625,0.765625,0.34375,0.5,0.421875,0.421875,0.640625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625,0.65625
ami_126d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.703125,0.703125,0.703125,0.703125,1.0,1.0,1.0,1.0,0.90625,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.171875,0.25,0.25,0.25,0.375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375
turnover_126d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.703125,0.703125,0.703125,0.703125,1.0,1.0,1.0,1.0,0.90625,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.171875,0.25,0.25,0.25,0.375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375
me,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.703125,0.703125,0.703125,0.703125,1.0,1.0,1.0,1.0,0.90625,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.171875,0.25,0.25,0.25,0.375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375
dolvol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.703125,0.703125,0.703125,0.703125,1.0,1.0,1.0,1.0,0.90625,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.171875,0.25,0.25,0.25,0.375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375
rmax5_rvol_21d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46875,0.734375,0.734375,0.734375,0.734375,0.90625,0.90625,0.90625,0.90625,1.0,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.140625,0.296875,0.25,0.25,0.40625,0.390625,0.390625,0.390625,0.390625,0.390625,0.390625,0.390625,0.390625,0.390625,0.390625,0.390625,0.390625,0.390625,0.390625,0.390625,0.390625,0.390625
bidaskhl_21d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.765625,0.765625,0.765625,0.765625,0.9375,0.9375,0.9375,0.9375,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.171875,0.3125,0.25,0.25,0.4375,0.421875,0.421875,0.421875,0.421875,0.421875,0.421875,0.421875,0.421875,0.421875,0.421875,0.421875,0.421875,0.421875,0.421875,0.421875,0.421875,0.421875
rmax5_21d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.765625,0.765625,0.765625,0.765625,0.9375,0.9375,0.9375,0.9375,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.171875,0.3125,0.25,0.25,0.4375,0.421875,0.421875,0.421875,0.421875,0.421875,0.421875,0.421875,0.421875,0.421875,0.421875,0.421875,0.421875,0.421875,0.421875,0.421875,0.421875,0.421875
