,sel_freq,t_stat,sign,sign_stability,dominant_sign_label,ic_mean,ic_std,n_pos,n_neg,n_zero,feat_w
me,0.8333333333333334,17.516302223998625,1,1.0,+,0.04718052156119526,0.012963140422802305,72,0,0,0.9166666419627056
be_me,0.2222222222222222,2.682696202749401,1,0.6666666666666666,+,0.010466293751964213,0.018101539222157587,48,24,0,0.547108943129067
sale_me,0.1527777777777778,5.059908287078499,1,0.8611111111111112,+,0.020919222865309627,0.01896650764652725,62,10,0,0.5700827669218687
ni_me,0.1111111111111111,14.646917179154318,1,1.0,+,0.04785621244806477,0.015390644759320492,72,0,0,0.5555551201193838
ocf_me,0.06944444444444445,12.741542950451878,1,1.0,+,0.044480852943916745,0.01606149433488209,72,0,0,0.5347192952612306
fcf_me,0.041666666666666664,15.443934652651775,1,1.0,+,0.05036212831525702,0.01502614995774223,72,0,0,0.5208331370947878
ebitda_mev,0.05555555555555555,12.452382874847821,1,1.0,+,0.04653852092003801,0.017276080531040367,72,0,0,0.5277738693946167
div12m_me,0.013888888888888888,10.468293640066818,1,1.0,+,0.030120701299137385,0.01391158472403654,72,0,0,0.5069160217338397
gp_at,0.06944444444444445,14.34476952343993,1,1.0,+,0.03119021831015384,0.010309196795586477,72,0,0,0.5347216331812612
ope_be,0.4444444444444444,22.530319730691623,1,1.0,+,0.04308466438089927,0.008960929455643824,72,0,0,0.7222222220580853
cop_at,0.1111111111111111,25.31098073862639,1,1.0,+,0.03692994019333218,0.006674069877962914,72,0,0,0.5555555555453795
ocf_at,0.2638888888888889,29.994656587614486,1,1.0,+,0.049464698987041256,0.007699077747908161,72,0,0,0.6319444444443503
op_at,0.2222222222222222,38.5892110054557,1,1.0,+,0.04648104090655832,0.006337130606363821,72,0,0,0.6111111111111112
niq_be,0.3611111111111111,18.62235016481679,1,1.0,+,0.050447980452514765,0.012518959051944516,72,0,0,0.6805555473819048
ret_1_0,1.0,-1.3109694869583044,-1,0.5833333333333334,-,-0.005536374012219732,0.019589791682118673,30,42,0,0.7876753409064626
ret_6_1,0.9027777777777778,4.863941135345408,1,0.8611111111111112,+,0.022026624410085696,0.02077971449748944,62,10,0,0.9437280323895167
ret_12_1,0.8472222222222222,6.112365558478312,1,0.9027777777777778,+,0.02995738558403925,0.023136032573372992,65,7,0,0.9214007036579235
ret_60_12,0.4166666666666667,4.703975935006331,1,0.7916666666666666,+,0.012560550663804008,0.012912786318715837,57,15,0,0.699355478728816
resff3_12_1,0.75,8.790512925584117,1,1.0,+,0.015854699504126917,0.00855078919607105,72,0,0,0.8748478532563223
seas_1_1an,0.9305555555555556,5.069633621557656,1,0.8333333333333334,+,0.017337194544443654,0.015483663628482103,60,12,0,0.9590323065244614
at_gr1,0.5416666666666666,-1.7173385893847273,-1,0.6527777777777778,-,-0.005924709625382629,0.016467995717840852,25,47,0,0.6186190454803626
sale_gr1,0.2638888888888889,-0.9666765095291361,1,0.5138888888888888,+,-0.0030407395958800456,0.014917681475188588,37,35,0,0.3564010046984366
capx_gr1,0.1527777777777778,-2.949907038347853,-1,0.6805555555555556,-,-0.004657066280975508,0.007475824592991099,23,49,0,0.5266479835192883
inv_gr1,0.1527777777777778,-4.176773726823158,-1,0.875,-,-0.007514734850004635,0.008618337947327599,9,63,0,0.5612729431473646
noa_gr1a,0.027777777777777776,-4.060800743777208,-1,0.8611111111111112,-,-0.011424638265779368,0.013104050581406235,10,62,0,0.4969456958243585
emp_gr1,0.19444444444444445,-1.996827620995926,-1,0.5416666666666666,-,-0.005427971187506425,0.012449394519468146,33,39,0,0.47768581817671385
